ONT,Start,End,Duration,#,Address,Latitude,Longitude
58998845,2015-05-19 09:31:37,2015-05-19 09:51:50,20.00,39,"Cohawney Rd,Scarsdale,NY,10583",41.004856,-73.787277
44061096,2015-05-19 09:31:37,2015-05-19 09:51:50,20.00,36,"Cohawney Rd,Scarsdale,NY,10583",41.004803,-73.787346
44061096,2015-05-19 12:26:37,2015-05-19 13:12:02,45.00,36,"Cohawney Rd,Scarsdale,NY,10583",41.004803,-73.787346
58998845,2015-05-19 12:26:37,2015-05-19 13:12:02,45.00,39,"Cohawney Rd,Scarsdale,NY,10583",41.004856,-73.787277
58998845,2015-05-19 12:26:37,,-1,39,"Cohawney Rd,Scarsdale,NY,10583",41.004856,-73.787277
44061096,2015-05-19 12:26:37,,-1,36,"Cohawney Rd,Scarsdale,NY,10583",41.004803,-73.787346
44061096,2015-05-19 13:14:16,2015-05-19 13:14:48,0.00,36,"Cohawney Rd,Scarsdale,NY,10583",41.004803,-73.787346
